Attendance,الحضور,
EMPLOYEE PORTAL,بوابة الموظف,
Welcome back,مرحباً بعودتك,
Sign in to record your attendance securely.,سجّل الدخول لتسجيل حضورك بأمان.,
Email or username,البريد الإلكتروني أو اسم المستخدم,
Password,كلمة المرور,
Sign In,تسجيل الدخول,
Signing in…,جارٍ تسجيل الدخول…,
Invalid username or password.,اسم المستخدم أو كلمة المرور غير صحيحة.,
MOBILE ATTENDANCE,الحضور عبر الهاتف,
Hello,مرحباً,
Good morning,صباح الخير,
Good afternoon,مساء الخير,
Good evening,مساء الخير,
Log out,تسجيل الخروج,
TIME,الوقت,
Employee,الموظف,
Branch,الفرع,
Shift,الوردية,
Flexible / No shift,مرن / بدون وردية,
CURRENT STATUS,الحالة الحالية,
CHECKED IN,تم تسجيل الدخول,
CHECKED OUT,تم تسجيل الخروج,
CLOCK IN,تسجيل الدخول,
CLOCK OUT,تسجيل الخروج,
No action today,لا توجد حركة اليوم,
Advanced,خيارات متقدمة,
Location,الموقع,
Locating you,جارٍ تحديد موقعك,
Location ready,الموقع جاهز,
Location unavailable,الموقع غير متاح,
Waiting for GPS…,في انتظار GPS…,
Requesting a fresh GPS position…,جارٍ طلب موقع GPS جديد…,
Accuracy: {0} meters,الدقة: {0} متر,
Retry,إعادة المحاولة,
Weekly Work Schedule,جدول العمل الأسبوعي,
Weekly Working Hours,ساعات العمل الأسبوعية,
Weekly Employee Hours,ساعات الموظفين الأسبوعية,
Work Schedules & Hourly Leave,جداول العمل والإجازات بالساعات,
Attendance Operations,عمليات الحضور,
Attendance Configuration,إعدادات الحضور,
Employee Name (Arabic),اسم الموظف (بالعربية),
Employee Name (English),اسم الموظف (بالإنجليزية),
Bilingual Employee Name,اسم الموظف ثنائي اللغة,
Name Reviewed by User,تمت مراجعة الاسم من المستخدم,
Protect User Correction,حماية تصحيح المستخدم,
Suggest English Name,اقتراح الاسم بالإنجليزية,
Suggest Arabic Name,اقتراح الاسم بالعربية,
Mark Reviewed & Protect,تأكيد المراجعة والحماية,
Assign Employees,تعيين الموظفين,
View Assigned Employees,عرض الموظفين المعيّنين,
Employee Schedule Adjustments,تعديلات جدول الموظف,
Scheduled Hours,الساعات المجدولة,
Actual Hours,الساعات الفعلية,
Variance,الفرق,
Check-in / Out Logs,سجلات الدخول والخروج,
Employee HR Portal,بوابة الموظف للموارد البشرية,
EMPLOYEE HR PORTAL,بوابة الموظف للموارد البشرية,
Notifications,الإشعارات,
Recent Attendance,الحضور الأخير,
Tap to load your check-in/out history,اضغط لعرض سجل الدخول والخروج,
Apply for Leave,طلب إجازة,
Latest Payslip,آخر قسيمة راتب,
Leaves,الإجازات,
Salary,الراتب,
Profile,الملف الشخصي,
Settings,الإعدادات,
Getting your recent location…,جارٍ جلب موقعك الأخير…,
Improving accuracy,جارٍ تحسين الدقة,
Getting a precise GPS position…,جارٍ الحصول على موقع GPS دقيق…,
Getting the required GPS accuracy…,جارٍ الحصول على دقة GPS المطلوبة…,
Location not required,الموقع غير مطلوب,
Your attendance policy allows check-in without GPS.,تسمح سياسة الحضور بتسجيل الحضور دون GPS.,
No attendance logs found.,لا توجد سجلات حضور.,
Employee Portal,بوابة الموظف,
Location Performance,أداء تحديد الموقع,
Reuse Recent Location (Seconds),إعادة استخدام الموقع الأخير (ثوانٍ),
Notify Employee When Salary Slip Is Available,إشعار الموظف عند توفر قسيمة الراتب,
Employee Leave Self Service,خدمة الإجازات الذاتية للموظف,
Default Self-Service Leave Type,نوع الإجازة الافتراضي للخدمة الذاتية,
Leave Approvers,معتمدو الإجازات,
Approver,المعتمد,
Approver Name,اسم المعتمد,
LEAVE REQUEST,طلب إجازة,
Request Leave,طلب إجازة,
"Enter the dates and reason. Your leave type, allocation period and approver will be selected automatically.","أدخل التواريخ والسبب. سيتم اختيار نوع الإجازة وفترة الاستحقاق والمعتمد تلقائياً.",
From Date,من تاريخ,
To Date,إلى تاريخ,
Reason,السبب,
Send Leave Request,إرسال طلب الإجازة,
Leave Unit,وحدة الإجازة,
